Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
1118,11,9,2019,Wednesday,0,Summer,0,26821.43333333333
943,12,9,2019,Thursday,0,Summer,0,26821.43333333333
1209,13,9,2019,Friday,0,Summer,0,26821.43333333333
1193,14,9,2019,Saturday,0,Summer,0,26821.43333333333
944,15,9,2019,Sunday,0,Summer,0,26821.43333333333
1240,16,9,2019,Monday,0,Summer,0,26821.43333333333
1140,17,9,2019,Tuesday,0,Summer,0,26821.43333333333
1224,18,9,2019,Wednesday,0,Summer,0,26821.43333333333
1180,19,9,2019,Thursday,0,Summer,0,26821.43333333333
1292,20,9,2019,Friday,0,Summer,0,26821.43333333333
1084,21,9,2019,Saturday,0,Summer,0,26821.43333333333
1215,22,9,2019,Sunday,0,Autumn,0,26821.43333333333
1202,23,9,2019,Monday,0,Autumn,0,26821.43333333333
1184,24,9,2019,Tuesday,0,Autumn,0,26821.43333333333
1002,25,9,2019,Wednesday,0,Autumn,0,26821.43333333333
1100,26,9,2019,Thursday,0,Autumn,0,26821.43333333333
1187,27,9,2019,Friday,0,Autumn,0,26821.43333333333
1447,28,9,2019,Saturday,0,Autumn,0,26821.43333333333
1038,29,9,2019,Sunday,0,Autumn,0,26821.43333333333
1100,30,9,2019,Monday,0,Autumn,0,26821.43333333333
942,1,10,2019,Tuesday,0,Autumn,0,25032.225806451614
884,2,10,2019,Wednesday,0,Autumn,0,25032.225806451614
825,3,10,2019,Thursday,0,Autumn,0,25032.225806451614
1327,4,10,2019,Friday,0,Autumn,0,25032.225806451614
1271,6,10,2019,Sunday,0,Autumn,0,25032.225806451614
1009,7,10,2019,Monday,0,Autumn,0,25032.225806451614
890,8,10,2019,Tuesday,0,Autumn,0,25032.225806451614
1135,9,10,2019,Wednesday,0,Autumn,0,25032.225806451614
814,10,10,2019,Thursday,0,Autumn,0,25032.225806451614
1103,11,10,2019,Friday,0,Autumn,0,25032.225806451614
1687,12,10,2019,Saturday,0,Autumn,0,25032.225806451614
