Ano,Mes,Dia,Visitantes,COVID
2021,6,10,222,1
2021,6,11,200,1
2021,6,12,268,1
2021,6,13,170,1
2021,6,14,189,1
2021,6,15,156,1
2021,6,16,155,1
2021,6,17,185,1
2021,6,18,193,1
2021,6,19,206,1
2021,6,20,207,1
2021,6,21,257,1
2021,6,22,197,1
2021,6,23,185,1
2021,6,24,172,1
2021,6,25,220,1
2021,6,26,150,1
2021,6,27,160,1
2021,6,28,254,1
2021,6,29,256,1
2021,6,30,216,1
2021,7,1,243,1
2021,7,2,247,1
2021,7,3,178,1
2021,7,4,129,1
2021,7,5,276,1
2021,7,6,247,1
2021,7,7,233,1
2021,7,8,287,1
2021,7,9,228,1
2021,7,10,122,1
2021,7,11,110,1
2021,7,12,319,1
2021,7,13,237,1
2021,7,14,244,1
2021,7,15,205,1
2021,7,16,248,1
2021,7,17,155,1
2021,7,18,166,1
2021,7,19,337,1
2021,7,20,304,1
2021,7,21,269,1
2021,7,22,320,1
2021,7,23,293,1
2021,7,24,149,1
2021,7,25,187,1
2021,7,26,346,1
2021,7,27,314,1
2021,7,28,329,1
2021,7,29,261,1
2021,7,30,324,1
2021,7,31,217,1
2021,8,1,295,1
2021,8,2,366,1
2021,8,3,339,1
2021,8,4,387,1
2021,8,5,337,1
2021,8,6,371,1
2021,8,7,346,1
2021,8,8,303,1
2021,8,9,510,1
2021,8,10,391,1
2021,8,11,449,1
2021,8,12,388,1
2021,8,13,365,1
2021,8,14,289,1
2021,8,15,301,1
2021,8,16,431,1
2021,8,17,398,1
2021,8,18,383,1
2021,8,19,379,1
2021,8,20,389,1
2021,8,21,378,1
2021,8,22,309,1
2021,8,23,490,1
2021,8,24,643,1
2021,8,25,432,1
2021,8,26,423,1
2021,8,27,389,1
2021,8,28,566,1
2021,8,29,310,1
2021,8,30,376,1
2021,8,31,350,1
2021,9,1,372,1
2021,9,2,405,1
2021,9,3,390,1
2021,9,4,439,1
2021,9,5,285,1
2021,9,6,367,1
2021,9,7,338,1
2021,9,8,368,1
2021,9,9,332,1
2021,9,10,357,1
2021,9,11,347,1
2021,9,12,372,1
2021,9,13,339,1
2021,9,14,368,1
2021,9,15,316,1
2021,9,16,313,1
2021,9,17,356,1
2021,9,18,463,1
2021,9,19,468,1
2021,9,20,325,1
2021,9,21,256,1
2021,9,22,251,1
2021,9,23,294,1
2021,9,24,315,1
2021,9,25,497,1
2021,9,26,392,1
2021,9,27,326,1
2021,9,28,343,1
2021,9,29,251,1
2021,9,30,311,1
2021,10,1,357,1
2021,10,2,544,1
2021,10,3,427,1
2021,10,4,476,1
2021,10,5,445,1
2021,10,6,283,1
2021,10,7,338,1
2021,10,8,369,1
2021,10,9,560,1
2021,10,10,535,1
2021,10,11,481,1
2021,10,12,367,1
2021,10,13,342,1
2021,10,14,386,1
2021,10,15,381,1
2021,10,16,575,1
2021,10,17,446,1
2021,10,18,410,1
2021,10,19,283,1
2021,10,20,456,1
2021,10,21,505,1
2021,10,22,375,1
2021,10,23,604,1
2021,10,24,439,1
2021,10,25,568,1
2021,10,26,448,1
2021,10,27,453,1
2021,10,28,451,1
2021,10,29,555,1
2021,10,30,574,1
2021,10,31,586,1
2021,11,1,633,1
2021,11,2,540,1
2021,11,3,427,1
2021,11,4,443,1
2021,11,5,498,1
2021,11,6,583,1
2021,11,7,456,1
2021,11,8,368,1
2021,11,9,296,1
2021,11,10,305,1
2021,11,11,410,1
2021,11,12,467,1
2021,11,13,611,1
2021,11,14,427,1
2021,11,15,377,1
2021,11,16,285,1
2021,11,17,251,1
2021,11,18,327,1
2021,11,19,430,1
2021,11,20,605,1
2021,11,21,436,1
2021,11,22,364,1
2021,11,23,344,1
2021,11,24,319,1
